index,name,generation,locomotion_fitness,manipulation_fitness,entered_population,final_name,genome,Final mean reward,base_lin_vel_zero,base_ang_vel_zero,support_feet_still,support_feet_vel,support_feet_contact,rf_target,action_rate,torques,dof_vel,dof_acc,energy,undesired_contacts
22,g000_p021,0,116.39,57.38,0,0,"[0.6,0.6,0.2,0.2,0.7,-0.0,1.0466666667,1.57,0.1,0.0,0.0,2.6166666667,1.0466666667,-0.0,0.2,0.0,0.0,-0.0,-1.0466666667,-0.0,0.0,0.3,0.0,-0.0,-0.0,-1.57,0.5,0.0,0.0,-0.0,-0.0,1.57,0.3,0.0,0.0,1.57,-0.0,-0.0,0.0,0.3,0.0,-0.0,-0.0,-2.6166666667,0.5,0.0,0.0]",57.3789830017,1.99875044823,0.991549193859,0.733223438263,0.774577021599,6.51041700621e-05,1.2565882206,-0.0460293963552,-0.0182532332838,-0.00434811785817,-0.00401803478599,-0.000220770467422,
23,g000_p022,0,109.0,66.49,0,0,"[0.2,0.2,0.4,0.1,0.7,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,-1.0466666667,0.5233333333,3.14,0.0,0.5,0.0]",66.4876654625,1.99216878414,0.965829014778,0.000695709779393,0.946483552456,0.000911458395422,3.66732549667,-0.045697581023,-0.06045281142,-0.00384963839315,-0.00355273997411,-0.000438226707047,
24,g000_p023,0,183.4,111.06,1,g010_p024,"[0.2,0.2,0.4,0.1,0.7,-0.5233333333,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.5233333333,3.14,0.0,0.5,0.0]",111.645436039,1.97359502316,0.964974403381,0.833179652691,0.932557761669,0.000130208340124,6.3080496788,-0.0333812013268,-0.0374423637986,-0.00451955758035,-0.00506448885426,-0.00039342045784,
25,g000_p024,0,121.8,64.29,0,0,"[0.2,0.2,0.4,0.1,0.7,-0.0,-1.0466666667,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,1.0466666667,-0.0,-1.57,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.5233333333,1.57,0.1,0.0,0.0,1.57,-0.0,-1.0466666667,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.5,0.0]",64.2943054962,1.99928951263,0.991083502769,0.00922289676964,0.95977973938,0.000520833360497,2.74869227409,-0.0404835604131,-0.0404293350875,-0.00327538698912,-0.00388180976734,-0.000214039289858,
26,g000_p025,0,152.96,83.49,1,g001_p032,"[0.2,0.2,0.4,0.1,0.7,-0.0,1.0466666667,1.57,0.1,0.0,0.0,1.57,-0.0,-1.0466666667,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0,-0.0,-0.0,1.0466666667,0.3,0.0,0.0,-0.0,0.5233333333,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.5,0.0]",83.4861052704,1.91277933121,0.920069634914,0.065720282495,0.842793643475,0.00559895858169,5.12174606323,-0.0669579878449,-0.0386998653412,-0.00585082173347,-0.00864760484546,-0.000487931945827,
27,g000_p026,0,149.98,74.29,1,g001_p038,"[0.2,0.2,0.4,0.1,0.7,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.5233333333,-0.0,-2.6166666667,0.2,0.0,0.0,-0.0,-0.0,-0.5233333333,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.0466666667,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.5,0.0]",74.2902677035,1.97053945065,0.945780277252,0.341575950384,0.881388187408,0.000651041686069,3.45864486694,-0.0667785927653,-0.0315227024257,-0.00573103409261,-0.00974687933922,-0.000417889328673,
28,g000_p027,0,162.22,70.05,1,g001_p033,"[0.6,0.6,0.2,0.1,0.8,-0.0,1.57,1.57,0.0,0.0,0.1,-2.6166666667,-1.57,-0.5233333333,0.0,0.0,0.1,1.57,-0.0,-0.0,0.2,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0,-0.0,1.57,0.5233333333,0.1,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0,-0.0,0.5233333333,-1.57,0.2,0.0,0.0]",70.0540176773,1.99661159515,0.985556721687,1.47946691513,0.957482337952,0,1.68291640282,-0.0246587004513,-0.0302774272859,-0.0058367215097,-0.00666516181082,-0.000409316970035,
29,g000_p028,0,160.43,81.55,1,g001_p034,"[0.6,0.6,0.2,0.1,0.8,-0.0,1.57,1.57,0.0,0.0,0.1,-1.57,-1.57,-1.57,0.0,0.0,0.1,1.57,-0.0,0.5233333333,0.2,0.0,0.0,-0.0,-0.0,2.6166666667,0.2,0.0,0.0,-1.0466666667,1.57,-0.0,0.1,0.0,0.0,-0.0,-0.0,1.57,0.2,0.0,0.0,-0.0,-0.0,-2.0933333333,0.2,0.0,0.0]",81.5481297302,1.99567878246,0.984154939651,1.49084317684,0.967312812805,0,2.84148001671,-0.0367568172514,-0.0273177977651,-0.0072061996907,-0.0102437213063,-0.00042907250463,
30,g000_p029,0,192.82,62.32,1,g006_p040,"[0.2,0.2,0.4,0.1,0.7,-0.0,-0.5233333333,1.57,0.1,0.0,0.0,1.57,1.0466666667,-0.0,0.2,0.0,0.0,-0.0,-0.0,-1.57,0.2,0.0,0.0,-0.0,-0.0,-0.0,0.3,0.0,0.0,-0.0,-0.0,1.57,0.1,0.0,0.0,1.57,-0.0,0.5233333333,0.3,0.0,0.0,-0.0,-0.0,3.14,0.0,0.5,0.0]",62.3163624191,1.99747371674,0.995692968369,1.82182252407,0.991071939468,0.000130208340124,0.309138655663,-0.00752385845408,-0.0309764519334,-0.00147230434231,-0.000613912008703,-0.000106223276816,
31,g000_p030,0,60.61,89.85,1,g001_p036,"[0.5,0.6,1.0,0.2,0.4,2.6166666667,-1.0466666667,-0.0,0.6,0.1,0.0,1.57,-1.57,2.6166666667,0.5,0.2,0.3,-1.57,2.0933333333,0.5233333333,0.6,0.6,0.0,-0.0,2.6166666667,1.57,0.6,0.0,0.2,0.5233333333,-2.6166666667,-1.0466666667,0.2,0.7,0.7,1.0466666667,1.57,3.14,0.0,0.0,0.7,-0.5233333333,-1.0466666667,0.5233333333,0.0,0.6,0.3]",89.8453463894,1.66401839256,0.835726261139,0.0103979744017,0.619102478027,0.780306041241,6.45779943466,-0.28151512146,-0.164064377546,-0.00934271328151,-0.0316133871675,-0.00321655534208,
